date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp_growth,ppi,trade_balance,unrate,usd_index,labor_force_women,health_services_emp,homeownership_rate,working_age_pop,migration_fear_idx,labor_force_part,labor_force_men
1998-03-31,0.011862,0.015251,0.015765,0.016105,0.015622,0.01501,0.014276,0.013306,0.012588,0.005579,15.966666666666669,5.52,-0.6061004680606374,-0.5876977764725783,-0.553824388437673,-0.1705459120548041,-1.0110961122375537,0.2197147737334628,0.011473199521738,124.7,-16164550590.0,4.633333333333333,100.70333333333332,59.9,14439,66.0,172391200,76.01085737,67.1,74.8
1998-06-30,0.058942,0.045146,0.027171,0.025041,0.018005,0.015287,0.0144,0.013282,0.012183,0.004933,14.660000000000002,5.5,-0.5865014921813108,-0.4916089645477489,-0.5494515196305707,-0.1394455410098393,-0.9396964682982376,0.2208111056807763,0.011641485685413,124.8,-20285708263.0,4.4,100.44333333333331,59.7,14553,66.1,172927800,80.7376462,67.0,74.9
1998-09-30,0.106874,0.0789,0.091994,0.08081,0.060403,0.033625,0.02081,0.014049,0.011806,0.003681,14.223333333333334,5.533333333333334,-0.3796583412591425,-0.2493820379034983,-0.3803502775739222,0.0111652231055205,-0.1788037005597913,0.2222383179448075,0.0168788272605355,123.8,-22843427137.0,4.533333333333333,99.19,60.0,14648,66.6,173429700,79.97940888,67.2,75.0
1998-12-31,-0.01289,-0.012479,-0.00738,-0.005396,-0.002933,0.007046,0.010605,0.011368,0.010401,0.001834,12.936666666666667,4.86,-0.074334486450425,0.0918121262793506,-0.0888941232512153,0.2252627532786112,0.4032201649736243,0.2800165242573234,0.0189553953871997,122.8,-17378907377.0,4.433333333333334,94.7,60.0,14759,66.5,173883500,80.41795126,67.2,74.9
1999-03-31,-0.070523,-0.041154,-0.032578,-0.024851,-0.010929,0.004888,0.01015,0.010985,0.010982,0.006712,13.07,4.733333333333333,-0.3121596586982615,-0.2278725418202762,-0.3466840097470258,0.0106820715649435,0.61293305877544,0.4003178448874598,0.0126631282513616,122.6,-23685588514.0,4.3,98.28666666666668,59.9,14859,66.7,174665800,91.17403002,67.0,74.7
1999-06-30,-0.033436,-0.024861,-0.032882,-0.012638,-0.007779,0.004627,0.00956,0.01158,0.011388,0.007273,17.650000000000002,4.746666666666667,-0.4007258358005956,-0.2721926403772944,-0.411122903996709,-0.0643040407280912,0.3415033702087264,0.4279648844983932,0.012168706932512,125.2,-29988536957.0,4.266666666666667,102.12,60.1,14926,66.7,175243300,196.8876049,67.1,74.7
1999-09-30,-0.012293,-0.002707,0.003252,0.005022,0.012044,0.012761,0.013816,0.012932,0.011281,0.010229,21.72666666666667,5.093333333333334,-0.1894218461316757,0.0420752268471644,-0.1633105283002735,-0.0132046847626609,0.8314029505543463,0.5017450857524776,0.0168394356202519,128.0,-31410141104.0,4.233333333333333,99.41333333333334,60.0,14980,66.8,175714200,102.0790431,67.0,74.6
1999-12-31,-0.040799,-0.020467,-0.0249,-0.00989,-0.006874,0.003711,0.008907,0.012848,0.011198,0.002383,24.596666666666668,5.306666666666667,-0.1375810479058901,0.1501555383145139,-0.1357246761182001,0.0570082558607979,0.9923451827683668,0.556651011599767,0.02204513728516,127.8,-27489056720.0,4.066666666666666,100.97333333333334,60.1,15080,66.9,176185200,99.74095047,67.1,74.8
2000-03-31,0.091323,0.084908,0.038547,0.031551,0.021228,0.012044,0.01367,0.013454,0.013072,0.017231,28.82333333333333,5.676666666666667,-0.1744672235992525,0.0259068167966999,-0.2141756084938772,0.0506219505570625,1.2767466180008284,0.6142181782303473,0.0103038645097877,130.8,-34434312136.0,4.033333333333333,105.49666666666668,60.1,15141,67.1,178367200,109.9261993,67.3,75.0
2000-06-30,0.006143,0.008705,0.013619,0.018104,0.01912,0.017905,0.015725,0.015532,0.013178,0.00701,28.776666666666667,6.273333333333333,-0.0063148002929179,0.2647150688076242,0.0343219190254581,0.1641468493831094,0.590770850388831,0.7374804140988863,0.0245487508271946,133.8,-35862997723.0,3.9333333333333336,108.57333333333334,60.0,15218,67.3,179071800,107.3739153,67.1,74.8
2000-09-30,0.015871,0.027294,0.019969,0.03176,0.03081,0.022676,0.01689,0.014979,0.014941,0.00754,31.613333333333333,6.52,-0.1537316417366569,0.034415169625944,-0.1440112642113445,0.2168779922311805,-0.3007072202923924,0.7806094857990254,0.0068742120198446,134.7,-39593315653.0,4.0,111.80666666666666,59.8,15336,67.5,179616800,83.38344148,66.9,74.6
2000-12-31,0.07578,0.075842,0.066293,0.058247,0.048482,0.029536,0.021891,0.016189,0.015168,0.001728,31.99,6.473333333333334,-0.125839396421242,0.0092588933450499,-0.1628070901056917,0.4339597005836953,-1.1392483566708913,0.7575597310347685,0.0113953401598054,136.2,-32870913203.0,3.9,113.81666666666666,59.9,15465,67.5,180059900,90.01641176,67.0,74.7
2001-03-31,-0.00268,0.013726,0.018642,0.031857,0.033438,0.027825,0.024328,0.015623,0.013274,0.012644,28.816666666666663,5.593333333333334,-0.2362955659961998,-0.1155431004521513,-0.2729594671221188,0.4678480894559694,-1.9254256293904852,0.7257334543726472,0.003304699693668,135.9,-32633433703.0,4.233333333333333,113.3,60.2,15629,67.6,180593400,84.16842418,67.2,74.7
2001-06-30,-0.030671,-0.022343,-0.024009,-0.010798,-0.004026,0.010798,0.013647,0.011366,0.009857,0.010215,27.906666666666663,4.326666666666667,-0.3854748240495425,-0.3142695445223966,-0.3766100289727868,0.2442487666932707,-1.9613586483327088,0.7053999044490441,0.0122985825241104,135.5,-32992139574.0,4.4,118.11666666666667,59.7,15784,67.8,181356600,74.83140562,66.7,74.3
2001-09-30,0.063775,0.068663,0.069691,0.069511,0.059299,0.038502,0.023213,0.010852,0.00875,0.001685,26.666666666666668,3.4966666666666666,-0.444277495260844,-0.4172809071611404,-0.456798339739246,0.2157363249614464,-1.861502379266623,0.6173725135538162,-9.24615529767081e-05,133.3,-34707530877.0,4.833333333333333,114.69333333333334,59.6,15958,67.9,181991200,131.030992,66.8,74.5
2001-12-31,0.005174,-0.017239,-0.021786,-0.014329,-0.007015,0.006955,0.011241,0.006256,0.005397,-0.008973,20.4,2.1333333333333333,-0.3727246524134318,-0.4149532914424788,-0.4157225892666971,0.2947910083604943,-1.58347130510125,0.5033474688060997,0.0058921383428225,128.1,-26830737908.0,5.5,115.91333333333334,59.7,16098,67.9,182709200,181.9063815,66.7,74.3
2002-03-31,-0.034298,-0.017255,-0.020713,-0.011217,-0.007983,-0.000526,0.00117,0.004243,0.004021,0.011885,21.656666666666663,1.7333333333333334,-0.4725858173610785,-0.5227380612925523,-0.5166245780836244,0.1398504227189673,-1.2008411634294354,0.5061829864955023,0.0115412413998825,129.8,-30803834625.0,5.7,119.34,59.7,16242,67.9,183073300,111.8575349,66.6,74.1
2002-06-30,0.057912,0.060742,0.060126,0.05949,0.051728,0.027652,0.015793,0.004715,0.004306,0.006152,26.246666666666663,1.75,-0.5853798651238709,-0.591080883914797,-0.5921570506149023,-0.0045741599697845,-1.329914065188427,0.4639779693136716,0.0096406547039458,130.9,-36863610155.0,5.833333333333333,111.03666666666668,59.6,16414,67.8,183667900,135.502524,66.6,74.2
