Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
05/29/2015,-0.547409132129425,-0.582670031951318,-0.56007943231766,-0.111405396197691,-0.229066523517443,-0.83409665498531
06/05/2015,-0.546755781882057,-0.583858233256057,-0.559396522578815,-0.109736714079043,-0.236248947955832,-0.828792482343824
06/12/2015,-0.545648142947452,-0.580099995057377,-0.558866176540828,-0.106829770715668,-0.242731285032947,-0.823433422130325
06/19/2015,-0.542955761032061,-0.568780303558039,-0.557961056920595,-0.102235160892295,-0.246318696318271,-0.818032986051356
06/26/2015,-0.540263108843388,-0.555016015829379,-0.557394651896564,-0.0962097627708798,-0.245545142667848,-0.812605264104455
07/03/2015,-0.535125336344176,-0.53884863560088,-0.556029230640675,-0.0874925818962059,-0.238968362363113,-0.807163760805988
07/10/2015,-0.5301232196584,-0.528198044139528,-0.555754964627861,-0.0763759258102719,-0.225368647094876,-0.801723008986332
07/17/2015,-0.524680479964486,-0.523983829303797,-0.554911747038977,-0.0636772073768692,-0.204182617456837,-0.79629412671707
07/24/2015,-0.514976823394653,-0.518262592404185,-0.550938626947001,-0.0486861169029079,-0.175304793531713,-0.790886286146383
07/31/2015,-0.500306501129926,-0.506389596529422,-0.542657148415965,-0.0322153360721521,-0.139447928285464,-0.785505999282923
08/07/2015,-0.481455552834755,-0.486976532140143,-0.530150931942423,-0.0154500575515404,-0.0981722094662556,-0.780156934108024
08/14/2015,-0.459983073418038,-0.460676716409421,-0.514636512002498,0.0008002557117032,-0.0541944370625613,-0.774840436199639
08/21/2015,-0.437506229558678,-0.43081600811693,-0.497580564610019,0.0155483022729857,-0.0102314447985066,-0.769556210823749
08/28/2015,-0.417217069172557,-0.405376719194911,-0.482419289714471,0.0281367349794198,0.0308405048599681,-0.764302838955736
09/04/2015,-0.404160230897733,-0.391056836290241,-0.473349145854092,0.0378091802829787,0.0652884096822785,-0.759078626485048
09/11/2015,-0.398386524695991,-0.387472145840975,-0.471267147185155,0.0444125277340049,0.0914958318143581,-0.753882195079457
09/18/2015,-0.398540775933476,-0.391709372041925,-0.475339191585612,0.048115730519327,0.108089947072057,-0.748713052614928
09/25/2015,-0.404315081915356,-0.400350991381978,-0.485201200794339,0.0492978134731825,0.114108590971491,-0.743572343420911
10/02/2015,-0.414118145229531,-0.410050105128427,-0.499686803811908,0.0487231413445151,0.110085014079932,-0.738463105504857
10/09/2015,-0.429898791505958,-0.423945931150724,-0.518568145835528,0.04581882396902,0.0966992323625257,-0.733388885557715
10/16/2015,-0.444451423637087,-0.436031748342955,-0.537095482418141,0.0436068572697919,0.0757172765611357,-0.728356361564066
10/23/2015,-0.457449055524595,-0.448173982887771,-0.554212429753351,0.0428955105127114,0.0489662286036081,-0.723370908021617
10/30/2015,-0.46672807564907,-0.461034546912816,-0.567493120634276,0.0447731423983591,0.0185002189824644,-0.718438261270385
11/06/2015,-0.470331354071087,-0.4702628216448,-0.575309832315612,0.0503537540738083,-0.0132389359453562,-0.713563945935932
11/13/2015,-0.466827299383288,-0.471643010364455,-0.575887440177336,0.0599119455514908,-0.0438636318770342,-0.708753585146861
11/20/2015,-0.457505158364578,-0.463534587709448,-0.569848495739759,0.0728418446844632,-0.0709119215818661,-0.704013098345403
