date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp,gdp_growth,ppi,trade_balance,unrate,usd_index
1995-03-31,0.066543,0.063633,0.061205,0.050366,0.048175,0.035215,0.025688,0.015176,0.012323,0.011356,18.383333333333333,5.81,-0.5668937126277105,-0.41316594181654653,-0.6400084622577027,-0.11973413897647592,0.09498820932770888,-0.14456860048016557,7522.289,0.008987043827146657,123.9,-11149039447.0,5.466666666666666,85.27333333333333
1995-06-30,0.121519,0.109214,0.084974,0.073252,0.061915,0.034741,0.022827,0.015333,0.014589,0.007266,19.363333333333333,6.02,-0.6844642820461223,-0.6020470514593762,-0.7767783805593312,-0.14240072901928855,-0.10717919344722669,-0.10816983775694154,7580.997,0.007804539283188916,125.3,-14809462495.0,5.666666666666667,81.98333333333333
1995-09-30,0.026338,0.024099,0.018473,0.018686,0.012034,0.014876,0.014344,0.014303,0.013529,0.00459,17.86,5.796666666666667,-0.696617820074825,-0.6542404879725676,-0.7680424096217441,-0.15683323058126525,-0.29581395610212746,-0.17649187205837544,7683.125,0.01347157900207585,125.2,-13818544718.0,5.666666666666667,83.81
1995-12-31,0.088027,0.079077,0.057043,0.047466,0.039601,0.026584,0.018646,0.014767,0.013767,0.001958,18.150000000000002,5.72,-0.7338727805778483,-0.683724141204645,-0.8031060658198529,-0.11003962033268723,-0.5689108661001914,-0.17025836786911708,7772.586,0.011643829821849971,125.7,-8421468285.0,5.566666666666666,84.56
1996-03-31,-0.082611,-0.06425,-0.032801,-0.029142,-0.015013,0.00206,0.009665,0.012634,0.012178,0.014332,19.76,5.363333333333333,-0.7838205933710032,-0.802707406374107,-0.8245850025009539,-0.17318540234591315,-0.7173199167191687,-0.16083804179444022,7868.468,0.012335920117191312,126.4,-8859004791.0,5.533333333333334,86.73
1996-06-30,-0.012895,-0.002029,-0.008643,0.002184,0.001951,0.009555,0.012808,0.01313,0.012614,0.006423,21.69666666666667,5.243333333333333,-0.7034285296412359,-0.6676580240552549,-0.7163446738748415,-0.244458713286488,-0.5002626682642781,-0.16183567160929255,8032.84,0.02088996231540885,128.0,-12249696191.0,5.5,87.87333333333333
1996-09-30,0.009234,0.016754,0.018081,0.016509,0.017116,0.016904,0.016043,0.014193,0.01305,0.00702,22.39,5.306666666666667,-0.727770149599475,-0.6391431192901891,-0.7238796745887158,-0.2704788308080838,-0.5962324472803758,-0.08976703340892775,8131.408,0.012270629067677286,128.2,-17580493314.0,5.266666666666667,86.73333333333333
1996-12-31,0.044662,0.049521,0.034593,0.027672,0.025086,0.019334,0.01545,0.013123,0.012644,0.00507,24.606666666666666,5.28,-0.7566162077352477,-0.8355686161165479,-0.7292579185857726,-0.24549885685936948,-0.9226914248754718,-0.04085423414789184,8259.771,0.0157860729654693,129.1,-13236570314.0,5.333333333333333,87.84333333333335
1997-03-31,-0.045983,-0.030786,-0.021438,-0.012109,-0.008585,0.005363,0.010677,0.012755,0.012161,0.008828,22.76,5.276666666666666,-0.7137456973589704,-0.7940743060659797,-0.6635509967182089,-0.21692614845890645,-1.1309007981590649,0.010227683923792962,8362.655,0.012456035403402899,127.3,-9337828650.0,5.233333333333333,94.21666666666665
1997-06-30,0.057841,0.055063,0.048469,0.038723,0.03225,0.022922,0.018833,0.013973,0.012371,0.001875,19.926666666666666,5.523333333333333,-0.6399929208932509,-0.5700129116480772,-0.5609779256758343,-0.2041926772389861,-1.0772682374729785,0.07733903583386716,8518.825,0.01867469123143306,127.2,-13503499423.0,5.0,95.89999999999999
